OrderNumber,Amount,Products
HKLZM51282,1,嫩牛五方
HKLZM51282,2,快乐儿童餐B
HKLZM51282,3,快乐儿童餐A
HKLZM51282,4,九龙金玉珍珠奶茶
HKLZM51276,1,嫩牛五方
HKLZM51276,2,香辣鸡腿堡
HKLZM51276,3,芙蓉荟蔬汤
HKLZM51275,1,嫩牛五方
HKLZM51275,2,香辣鸡腿堡
HKLZM51275,3,新春特餐
HKLZM51277,1,嫩牛五方
HKLZM51277,2,新春特餐
HKLZM51270,1,嫩牛五方
HKLZM51270,2,新春特餐
HKLZM51270,3,劲脆鸡腿堡
HKLZM51269,1,薯条
HKLZM51269,2,榛果风味拿铁(热)
HKLZM51269,3,拿铁咖啡
HKLZM51269,4,九龙金玉珍珠奶茶
HKLZM51233,1,百事可乐
HKLZM51243,2,超值全家桶
HKLZM51243,3,拿铁咖啡
HKLZM51222,1,热辣香骨鸡
HKLZM51268,1,薯条
HKLZM51268,2,香甜粟米棒
HKLZM51280,1,百事可乐
HKLZM51280,2,恋桃乌龙茶
HKLZM51222,2,超值全家桶
HKLZM51223,1,上校鸡块
HKLZM51223,2,海苔岩烧大鸡腿饭
HKLZM51223,3,快乐儿童餐B
HKLZM51223,4,圣代（草莓）
HKLZM51279,1,圣代（巧克力）
HKLZM51279,2,新春特餐
HKLZM51284,1,青金桔鲜果茶
HKLZM51284,2,新奥尔良烤鸡腿堡
HKLZM51246,1,劲爆鸡米花(大/小)
HKLZM51246,2,海苔岩烧大鸡腿饭
HKLZM51246,3,快乐儿童餐B
HKLZM51274,1,薯条
HKLZM51274,2,拿铁咖啡
HKLZM51274,3,榛果风味拿铁(热)
HKLZM51278,1,圣代（巧克力）
HKLZM51278,2,新春特餐
HKLZM51278,3,新奥尔良烤鸡腿堡
HKLZM51292,1,嫩牛五方
HKLZM51292,2,小食拼盘
HKLZM51293,1,嫩牛五方
HKLZM51289,1,嫩牛五方
HKLZM51289,2,九龙金玉珍珠奶茶
HKLZM51288,1,嫩牛五方
HKLZM51288,2,香辣鸡腿堡
HKLZM51288,3,九龙金玉珍珠奶茶
HKLZM51290,1,嫩牛五方
HKLZM51290,2,快乐儿童餐A
HKLZM51291,1,嫩牛五方
HKLZM51291,2,快乐儿童餐A
HKLZM51291,3,快乐儿童餐B
HKLZM51285,1,嫩牛五方
HKLZM51285,2,快乐儿童餐A
HKLZM51246,4,新春特餐
HKLZM51177,2,新春特餐
HKLZM51286,1,深海鳕鱼堡
HKLZM51286,2,桃之恋乌龙茶
HKLZM51286,3,小龙虾双人套餐
HKLZM51286,4,九龙金玉珍珠奶茶
HKLZM51177,1,上校鸡块
HKLZM51185,3,双层鸡排堡单人套餐
HKLZM51185,2,翅桶(10翅1桶)
HKLZM51296,1,青金桔鲜果茶
HKLZM51296,2,新春特餐
HKLZM51295,1,劲爆鸡米花(大/小)
HKLZM51295,2,新春特餐
HKLZM51185,1,圣代（巧克力）
HKLZM51227,1,薯条
HKLZM51227,2,拿铁咖啡
HKLZM51227,3,榛果风味拿铁(热)
HKLZM51234,1,劲爆鸡米花(大/小)
HKLZM51234,2,新春特餐
HKLZM51297,1,热辣香骨鸡
HKLZM51297,2,超值全家桶
HKLZM51297,3,拿铁咖啡
HKLZM51297,4,芙蓉荟蔬汤
HKLZM51315,1,嫩牛五方
HKLZM51315,2,快乐儿童餐A
HKLZM51315,3,快乐儿童餐B
HKLZM51315,4,劲脆鸡腿堡
HKLZM51305,1,嫩牛五方
HKLZM51310,1,嫩牛五方
HKLZM51306,1,嫩牛五方
HKLZM51306,2,香辣鸡腿堡
HKLZM51306,3,九龙金玉珍珠奶茶
HKLZM51307,1,嫩牛五方
HKLZM51307,2,快乐儿童餐A
HKLZM51307,3,快乐儿童餐B
HKLZM51307,4,新春特餐
HKLZM51244,1,热辣香骨鸡
HKLZM51244,2,超值全家桶
HKLZM51244,3,拿铁咖啡
HKLZM51301,1,上校鸡块
HKLZM51301,2,劲脆鸡腿堡
HKLZM51309,1,九龙金玉乌龙奶茶
HKLZM51309,2,快乐儿童餐A
HKLZM51309,3,快乐儿童餐B
HKLZM51309,4,新春特餐
HKLZM51244,4,九龙金玉珍珠奶茶
HKLZM51252,1,九龙金玉乌龙奶茶
HKLZM51300,1,薯条
HKLZM51252,2,珍宝糯米翅
HKLZM51257,1,青金桔鲜果茶
HKLZM51308,1,九龙金玉乌龙奶茶
HKLZM51308,2,快乐儿童餐B
HKLZM51308,3,快乐儿童餐A
HKLZM51308,4,九龙金玉珍珠奶茶
HKLZM51308,5,香甜粟米棒
HKLZM51316,1,青金桔鲜果茶
HKLZM51316,2,恋桃乌龙茶
HKLZM51316,3,葡式蛋挞
HKLZM51226,1,薯条
HKLZM51226,2,榛果风味拿铁(热)
HKLZM51250,1,薯条
HKLZM51250,2,海苔岩烧大鸡腿饭
HKLZM51311,1,百事可乐
HKLZM51311,2,恋桃乌龙茶
HKLZM51311,3,劲脆鸡腿堡
HKLZM51240,1,热辣香骨鸡
HKLZM51250,3,快乐儿童餐B
HKLZM51250,4,恋桃乌龙茶
HKLZM51254,1,薯条
HKLZM51254,2,拿铁咖啡
HKLZM51240,2,新春特餐
HKLZM51254,3,榛果风味拿铁(热)
HKLZM51254,4,香甜粟米棒
HKLZM51313,1,劲爆鸡米花(大/小)
HKLZM51312,1,劲爆鸡米花(大/小)
HKLZM51312,2,海苔岩烧大鸡腿饭
HKLZM51312,3,快乐儿童餐B
HKLZM51312,4,芙蓉荟蔬汤
HKLZM51255,1,青金桔鲜果茶
HKLZM51255,2,新春特餐
HKLZM51255,3,葡式蛋挞
HKLZM51325,1,嫩牛五方
HKLZM51325,2,小龙虾双人套餐
HKLZM51325,3,愤怒的汉堡套餐
HKLZM51325,4,新春特餐
HKLZM51324,1,嫩牛五方
HKLZM51323,1,嫩牛五方
HKLZM51323,2,新春特餐
HKLZM51322,1,薯条
HKLZM51322,2,香甜粟米棒
HKLZM51321,1,薯条
HKLZM51321,2,海苔岩烧大鸡腿饭
HKLZM51334,1,青金桔鲜果茶
HKLZM51334,2,恋桃乌龙茶
HKLZM51335,1,热辣香骨鸡
HKLZM51335,2,超值全家桶
HKLZM51332,1,热辣香骨鸡
HKLZM51333,1,青金桔鲜果茶
HKLZM51333,2,拿铁咖啡
HKLZM51333,3,吮指原味鸡
HKLZM51331,1,劲脆鸡腿堡
HKLZM51331,2,劲爆鸡米花(大/小)
HKLZM51326,1,圣代（巧克力）
HKLZM51326,2,新春特餐
HKLZM51266,1,劲爆鸡米花(大/小)
HKLZM51271,1,百事可乐
HKLZM51271,2,新春特餐
HKLZM51271,3,新奥尔良烤鸡腿堡
HKLZM51271,4,葡式蛋挞
HKLZM51281,1,百事可乐
HKLZM51273,1,薯条
HKLZM51273,2,小食拼盘
HKLZM51272,1,薯条
HKLZM51330,1,上校鸡块
HKLZM51330,2,新春特餐
HKLZM51350,1,嫩牛五方
HKLZM51350,2,小食拼盘
HKLZM51350,3,恋桃乌龙茶
HKLZM51347,1,嫩牛五方
HKLZM51347,2,香辣鸡腿堡
HKLZM51347,3,新春特餐
HKLZM51352,1,嫩牛五方
HKLZM51352,2,香辣鸡腿堡
HKLZM51352,3,新春特餐
HKLZM51352,4,圣代（草莓）
HKLZM51348,1,嫩牛五方
HKLZM51348,2,愤怒的汉堡套餐
HKLZM51345,1,嫩牛五方
HKLZM51345,2,快乐儿童餐A
HKLZM51345,3,快乐儿童餐B
HKLZM51345,4,小食拼盘
HKLZM51346,1,嫩牛五方
HKLZM51346,2,香辣鸡腿堡
HKLZM51346,3,新春特餐
HKLZM51346,4,恋桃乌龙茶
HKLZM51343,1,薯条
HKLZM51343,2,海苔岩烧大鸡腿饭
HKLZM51343,3,快乐儿童餐B
HKLZM51351,1,嫩牛五方
HKLZM51351,2,新春特餐
HKLZM51354,1,嫩牛五方
HKLZM51341,1,薯条
HKLZM51341,2,拿铁咖啡
HKLZM51341,3,榛果风味拿铁(热)
HKLZM51341,4,九龙金玉珍珠奶茶
HKLZM51272,2,榛果风味拿铁(热)
HKLZM51283,1,热辣香骨鸡
HKLZM51283,2,超值全家桶
HKLZM51283,3,拿铁咖啡
HKLZM51318,1,热辣香骨鸡
HKLZM51318,2,海苔岩烧大鸡腿饭
HKLZM51318,3,快乐儿童餐B
HKLZM51318,4,葡式蛋挞
HKLZM51299,1,劲爆鸡米花(大/小)
HKLZM51299,2,新春特餐
HKLZM51294,1,九龙金玉乌龙奶茶
HKLZM51294,2,珍宝糯米翅
HKLZM51294,3,九龙金玉珍珠奶茶
HKLZM51303,1,深海鳕鱼堡
HKLZM51303,2,快乐儿童餐A
HKLZM51303,3,新春特餐
HKLZM51302,1,百事可乐
HKLZM51302,2,恋桃乌龙茶
HKLZM51304,1,九龙金玉乌龙奶茶
HKLZM51304,2,劲脆鸡腿堡
HKLZM51320,1,劲爆鸡米花(大/小)
HKLZM51320,2,翅桶(10翅1桶)
HKLZM51314,1,热辣香骨鸡
HKLZM51314,2,海苔岩烧大鸡腿饭
HKLZM51314,3,快乐儿童餐B
HKLZM51329,1,圣代（巧克力）
HKLZM51329,2,海苔岩烧大鸡腿饭
HKLZM51329,3,快乐儿童餐B
HKLZM51329,4,恋桃乌龙茶
HKLZM51328,1,热辣香骨鸡
HKLZM51287,1,薯条
HKLZM51287,2,新春特餐
HKLZM51287,3,劲脆鸡腿堡
HKLZM51317,1,青金桔鲜果茶
HKLZM51317,2,海苔岩烧大鸡腿饭
HKLZM51317,3,快乐儿童餐B
HKLZM51319,1,热辣香骨鸡
HKLZM51319,2,海苔岩烧大鸡腿饭
HKLZM51319,3,快乐儿童餐B
HKLZM51327,1,热辣香骨鸡
HKLZM51327,2,快乐儿童餐B
HKLZM51327,3,芙蓉荟蔬汤
HKLZM51327,4,海苔岩烧大鸡腿饭
HKLZM51298,1,热辣香骨鸡
HKLZM51298,2,海苔岩烧大鸡腿饭
HKLZM51298,3,快乐儿童餐B
HKLZM51339,1,嫩牛五方
HKLZM51339,2,快乐儿童餐A
HKLZM51339,3,芙蓉荟蔬汤
HKLZM51339,4,快乐儿童餐B
HKLZM51340,1,深海鳕鱼堡
HKLZM51340,2,新奥尔良烤鸡腿堡
HKLZM51338,1,青金桔鲜果茶
HKLZM51344,1,百事可乐
HKLZM51344,2,吮指原味鸡
HKLZM51344,3,拿铁咖啡
HKLZM51344,4,劲脆鸡腿堡
HKLZM51344,5,新奥尔良烤鸡腿堡
HKLZM51358,1,上校鸡块
HKLZM51358,2,翅桶(10翅1桶)
HKLZM51358,3,双层鸡排堡单人套餐
HKLZM51358,4,九龙金玉珍珠奶茶
HKLZM51337,1,薯条
HKLZM51336,1,薯条
HKLZM51336,2,榛果风味拿铁(热)
HKLZM51336,3,拿铁咖啡
HKLZM51342,1,薯条
HKLZM51342,2,新春特餐
HKLZM51356,1,青金桔鲜果茶
HKLZM51356,2,海苔岩烧大鸡腿饭
HKLZM51356,3,快乐儿童餐B
HKLZM51355,1,热辣香骨鸡
HKLZM51355,2,超值全家桶
HKLZM51355,3,九龙金玉珍珠奶茶
HKLZM51357,1,热辣香骨鸡
HKLZM51357,2,超值全家桶
HKLZM51357,3,恋桃乌龙茶
HKLZM51349,1,青金桔鲜果茶
HKLZM51349,2,吮指原味鸡
HKLZM51349,3,拿铁咖啡
HKLZM51349,4,九龙金玉珍珠奶茶
HKLZM51353,1,上校鸡块
HKLZM51353,2,翅桶(10翅1桶)
HKLZM51353,3,双层鸡排堡单人套餐
HKLZM51353,4,劲脆鸡腿堡
HKLZM51365,1,嫩牛五方
HKLZM51365,2,小龙虾双人套餐
HKLZM51365,3,愤怒的汉堡套餐
HKLZM51365,4,小食拼盘
HKLZM51360,1,嫩牛五方
HKLZM51360,2,快乐儿童餐A
HKLZM51360,3,快乐儿童餐B
HKLZM51360,4,香甜粟米棒
HKLZM51364,1,深海鳕鱼堡
HKLZM51366,1,百事可乐
HKLZM51363,1,九龙金玉乌龙奶茶
HKLZM51363,2,快乐儿童餐A
HKLZM51363,3,快乐儿童餐B
HKLZM51362,1,百事可乐
HKLZM51362,2,拿铁咖啡
HKLZM51362,3,吮指原味鸡
HKLZM51362,4,九龙金玉珍珠奶茶
HKLZM51359,1,薯条
HKLZM51359,2,海苔岩烧大鸡腿饭
HKLZM51359,3,快乐儿童餐B
HKLZM51359,4,恋桃乌龙茶
HKLZM51359,5,劲脆鸡腿堡
HKLZM51367,1,热辣香骨鸡
HKLZM51367,2,圣代（草莓）
HKLZM51368,1,热辣香骨鸡
HKLZM51368,2,新春特餐
HKLZM51371,1,热辣香骨鸡
HKLZM51371,2,海苔岩烧大鸡腿饭
HKLZM51371,3,快乐儿童餐B
HKLZM51371,4,劲脆鸡腿堡
HKLZM51373,1,热辣香骨鸡
HKLZM51373,2,新春特餐
HKLZM51370,1,劲爆鸡米花(大/小)
HKLZM51370,2,翅桶(10翅1桶)
HKLZM51370,3,双层鸡排堡单人套餐
HKLZM51370,4,快乐儿童餐B
HKLZM51370,5,海苔岩烧大鸡腿饭
HKLZM51370,6,新春特餐
HKLZM51369,1,劲爆鸡米花(大/小)
HKLZM51369,2,海苔岩烧大鸡腿饭
HKLZM51369,3,快乐儿童餐B
HKLZM51361,1,薯条
HKLZM51361,2,榛果风味拿铁(热)
HKLZM51361,3,拿铁咖啡
HKLZM51361,4,九龙金玉珍珠奶茶
HKLZM51372,1,青金桔鲜果茶
HKLZM51372,2,吮指原味鸡
HKLZM51385,1,嫩牛五方
HKLZM51385,2,小龙虾双人套餐
HKLZM51385,3,愤怒的汉堡套餐
HKLZM51385,4,九龙金玉珍珠奶茶
HKLZM51385,5,香甜粟米棒
HKLZM51386,1,嫩牛五方
HKLZM51386,2,香辣鸡腿堡
HKLZM51386,3,恋桃乌龙茶
HKLZM51384,1,嫩牛五方
HKLZM51384,2,快乐儿童餐B
HKLZM51384,3,快乐儿童餐A
HKLZM51384,4,恋桃乌龙茶
HKLZM51384,5,葡式蛋挞
HKLZM51381,1,嫩牛五方
HKLZM51382,1,嫩牛五方
HKLZM51380,1,嫩牛五方
HKLZM51380,2,小龙虾双人套餐
HKLZM51380,3,愤怒的汉堡套餐
HKLZM51380,4,小食拼盘套餐
HKLZM51388,1,嫩牛五方
HKLZM51387,1,九龙金玉乌龙奶茶
HKLZM51387,2,快乐儿童餐A
HKLZM51387,3,快乐儿童餐B
HKLZM51387,4,新春特餐
HKLZM51379,1,深海鳕鱼堡
HKLZM51379,2,桃之恋乌龙茶
HKLZM51379,3,小龙虾双人套餐
HKLZM51379,4,新春特餐
HKLZM51377,1,上校鸡块
HKLZM51377,2,新春特餐
HKLZM51374,1,薯条
HKLZM51374,2,新春特餐
HKLZM51375,1,薯条
HKLZM51375,2,新春特餐
HKLZM51376,1,薯条
HKLZM51389,1,青金桔鲜果茶
HKLZM51389,2,劲脆鸡腿堡
HKLZM51389,3,新奥尔良烤鸡腿堡
HKLZM51378,1,九龙金玉乌龙奶茶
HKLZM51378,2,新奥尔良烤鸡腿堡
HKLZM51390,1,热辣香骨鸡
HKLZM51390,2,葡式蛋挞
HKLZM51383,1,圣代（巧克力）
HKLZM51383,2,新春特餐
HKLZM51398,1,嫩牛五方
HKLZM51399,1,嫩牛五方
HKLZM51399,2,愤怒的汉堡套餐
HKLZM51399,3,小龙虾双人套餐
HKLZM51397,1,嫩牛五方
HKLZM51397,2,香辣鸡腿堡
HKLZM51397,3,九龙金玉珍珠奶茶
HKLZM51396,1,深海鳕鱼堡
HKLZM51396,2,香辣鸡翅
HKLZM51396,3,芙蓉荟蔬汤
HKLZM51392,1,薯条
HKLZM51392,2,快乐儿童餐B
HKLZM51392,3,海苔岩烧大鸡腿饭
HKLZM51392,4,新春特餐
HKLZM51393,1,薯条
HKLZM51393,2,新春特餐
HKLZM51394,1,薯条
HKLZM51394,2,榛果风味拿铁(热)
HKLZM51391,1,薯条
HKLZM51391,2,榛果风味拿铁(热)
HKLZM51391,3,拿铁咖啡
HKLZM51395,1,薯条
HKLZM51405,1,热辣香骨鸡
HKLZM51405,2,超值全家桶
HKLZM51403,1,热辣香骨鸡
HKLZM51403,2,新春特餐
HKLZM51404,1,热辣香骨鸡
HKLZM51404,2,快乐儿童餐B
HKLZM51404,3,海苔岩烧大鸡腿饭
HKLZM51404,4,新春特餐
HKLZM51402,1,劲爆鸡米花(大/小)
HKLZM51402,2,劲脆鸡腿堡
HKLZM51406,1,青金桔鲜果茶
HKLZM51406,2,恋桃乌龙茶
HKLZM51406,3,劲脆鸡腿堡
HKLZM51401,1,圣代（巧克力）
HKLZM51401,2,新奥尔良烤鸡腿堡
HKLZM51400,1,圣代（巧克力）
HKLZM51400,2,新春特餐
HKLZM51421,1,嫩牛五方
HKLZM51420,1,嫩牛五方
HKLZM51420,2,小龙虾双人套餐
HKLZM51420,3,愤怒的汉堡套餐
HKLZM51420,4,香辣鸡腿堡
HKLZM51420,5,小食拼盘套餐
HKLZM51411,1,嫩牛五方
HKLZM51411,2,快乐儿童餐A
HKLZM51411,3,快乐儿童餐B
HKLZM51411,4,新春特餐
HKLZM51411,5,劲脆鸡腿堡
HKLZM51408,1,嫩牛五方
HKLZM51408,2,愤怒的汉堡套餐
HKLZM51408,3,九龙金玉珍珠奶茶
HKLZM51408,4,香甜粟米棒
HKLZM51417,1,嫩牛五方
HKLZM51417,2,快乐儿童餐B
HKLZM51417,3,快乐儿童餐A
HKLZM51417,4,香甜粟米棒
HKLZM51409,1,嫩牛五方
HKLZM51409,2,香辣鸡腿堡
HKLZM51409,3,小食拼盘套餐
HKLZM51416,1,圣代（巧克力）
HKLZM51416,2,新春特餐
HKLZM51410,1,九龙金玉乌龙奶茶
HKLZM51410,2,香辣鸡腿堡
HKLZM51410,3,小食拼盘套餐
HKLZM51413,1,九龙金玉乌龙奶茶
HKLZM51413,2,快乐儿童餐A
HKLZM51414,1,薯条
HKLZM51414,2,榛果风味拿铁(热)
HKLZM51414,3,新奥尔良烤鸡腿堡
HKLZM51422,1,九龙金玉乌龙奶茶
HKLZM51422,2,香辣鸡腿堡
HKLZM51422,3,小食拼盘套餐
HKLZM51407,1,薯条
HKLZM51407,2,拿铁咖啡
HKLZM51407,3,榛果风味拿铁(热)
HKLZM51407,4,新春特餐
HKLZM51419,1,热辣香骨鸡
HKLZM51419,2,超值全家桶
HKLZM51419,3,拿铁咖啡
HKLZM51425,1,青金桔鲜果茶
HKLZM51425,2,恋桃乌龙茶
HKLZM51424,1,热辣香骨鸡
HKLZM51424,2,新春特餐
HKLZM51424,3,葡式蛋挞
HKLZM51415,1,深海鳕鱼堡
HKLZM51415,2,香辣鸡翅
HKLZM51415,3,恋桃乌龙茶
HKLZM51415,4,葡式蛋挞
HKLZM51412,1,薯条
HKLZM51412,2,榛果风味拿铁(热)
HKLZM51412,3,九龙金玉珍珠奶茶
HKLZM51418,1,热辣香骨鸡
HKLZM51418,2,快乐儿童餐B
HKLZM51418,3,海苔岩烧大鸡腿饭
HKLZM51418,4,恋桃乌龙茶
HKLZM51423,1,劲爆鸡米花(大/小)
HKLZM51423,2,翅桶(10翅1桶)
HKLZM51423,3,双层鸡排堡单人套餐
HKLZM51423,4,九龙金玉珍珠奶茶
HKLZM51431,1,嫩牛五方
HKLZM51431,2,快乐儿童餐B
HKLZM51431,3,快乐儿童餐A
