quality,fixed acidity,volatile acidity,citric acid,residual sugar,odor,chlorides,free sulfur dioxide,total sulfur dioxide,brew,alcohol,habitat
high,A,Medium,g,no,none,free,no,Low,brown,mild,upper
high,A,Very High,y,yes,anise,free,yes,Low,white,strong,upper
high,A,High,b,no,none,free,no,Low,black,mild,upper
high,B,High,w,yes,almond,free,yes,Low,white,strong,upper
high,A,High,w,yes,anise,free,yes,Low,brown,strong,upper
high,D,Very High,b,yes,anise,free,yes,Low,white,strong,upper
high,C,Medium,b,no,none,free,yes,High,brown,strong,top
high,A,Medium,b,no,none,free,yes,High,brown,strong,top
high,B,High,w,yes,anise,free,yes,Low,black,strong,upper
high,A,Very High,y,yes,almond,free,yes,Low,gray,strong,upper
high,A,Very High,y,yes,anise,free,yes,Low,gray,strong,support
high,A,High,b,no,none,free,no,Low,brown,mild,upper
high,A,High,w,yes,almond,free,yes,Low,gray,strong,upper
high,D,Very High,b,yes,anise,free,yes,Low,pink,strong,upper
high,A,High,y,yes,almond,free,yes,Low,brown,strong,upper
high,B,High,w,yes,almond,free,yes,Low,gray,strong,upper
high,A,Very High,w,yes,almond,free,yes,Low,gray,strong,upper
high,A,Medium,b,no,none,free,no,Low,pink,mild,upper
high,B,High,y,yes,anise,free,yes,Low,brown,strong,upper
high,D,Very High,y,yes,anise,free,yes,Low,white,strong,upper
high,A,Very High,y,yes,almond,free,yes,Low,brown,strong,canopy
high,B,Very High,w,yes,anise,free,yes,Low,gray,strong,upper
high,A,Very High,y,yes,almond,free,yes,Low,brown,strong,support
high,A,Very High,y,yes,almond,free,yes,Low,white,strong,upper
high,B,Very High,w,yes,anise,free,yes,Low,brown,strong,support
high,B,Very High,w,yes,almond,free,yes,Low,gray,strong,support
high,A,High,y,yes,almond,free,yes,Low,black,strong,support
high,A,High,y,yes,anise,free,yes,Low,white,strong,upper
high,C,Medium,g,no,none,free,yes,High,gray,strong,top
high,A,Medium,w,yes,almond,free,no,High,white,mild,medium
high,A,High,y,yes,almond,free,yes,Low,brown,strong,support
low,A,Very High,w,yes,pungent,free,yes,High,brown,strong,top
high,A,Very High,y,yes,anise,free,yes,Low,pink,strong,upper
high,C,Medium,g,no,none,free,yes,High,pink,strong,top
high,A,Very High,y,yes,anise,free,yes,Low,white,strong,upper
high,A,High,y,yes,anise,free,no,High,pink,mild,medium
high,C,Medium,b,no,none,free,yes,High,black,strong,top
low,A,High,w,yes,pungent,free,yes,High,black,strong,upper
high,A,Very High,w,yes,almond,free,yes,Low,gray,strong,support
low,D,Very High,b,yes,pungent,free,yes,High,pink,strong,upper
high,D,High,g,no,none,free,no,Low,black,mild,upper
high,A,High,y,yes,anise,free,yes,Low,gray,strong,support
high,A,High,w,no,none,free,no,Low,brown,mild,upper
high,B,High,y,yes,almond,free,yes,Low,white,strong,upper
high,D,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,A,High,w,yes,anise,free,yes,Low,brown,strong,upper
high,B,High,w,yes,anise,free,yes,Low,brown,strong,support
high,B,High,w,yes,anise,free,yes,Low,white,strong,upper
high,B,Very High,w,yes,anise,free,yes,Low,white,strong,support
high,D,High,w,yes,anise,free,no,High,white,mild,medium
high,A,Very High,y,yes,anise,free,yes,Low,gray,strong,support
high,D,High,w,yes,almond,free,no,High,pink,mild,medium
low,A,Very High,w,yes,pungent,free,yes,High,white,strong,top
high,D,Medium,w,yes,anise,free,no,High,white,mild,medium
high,A,Very High,y,yes,almond,free,yes,Low,brown,strong,upper
low,A,High,b,yes,pungent,free,yes,High,pink,strong,upper
high,B,High,y,yes,anise,free,yes,Low,white,strong,upper
high,A,Very High,b,yes,almond,free,yes,Low,white,strong,canopy
high,B,Very High,y,yes,anise,free,yes,Low,gray,strong,support
high,C,Medium,b,no,none,free,yes,High,black,strong,top
high,D,Very High,b,yes,almond,free,yes,Low,white,strong,canopy
high,A,Very High,y,yes,almond,free,yes,Low,black,strong,upper
high,A,Medium,g,no,none,free,no,Low,black,mild,upper
high,D,Medium,w,no,none,free,no,Low,black,mild,upper
high,A,Very High,y,yes,anise,free,yes,Low,white,strong,support
high,B,High,y,yes,anise,free,yes,Low,black,strong,upper
high,B,Very High,w,yes,almond,free,yes,Low,gray,strong,support
high,A,Very High,w,yes,almond,free,yes,Low,white,strong,upper
high,A,High,b,no,none,free,no,Low,pink,mild,upper
high,A,Very High,w,yes,anise,free,yes,Low,gray,strong,upper
high,C,Medium,b,no,none,free,yes,High,black,strong,top
high,A,High,w,yes,almond,free,no,High,white,mild,medium
high,A,Very High,b,yes,anise,free,yes,Low,white,strong,upper
high,B,Very High,y,yes,almond,free,yes,Low,black,strong,upper
high,A,Very High,w,yes,almond,free,yes,Low,black,strong,upper
high,B,Very High,w,yes,almond,free,yes,Low,brown,strong,support
high,B,High,y,yes,almond,free,yes,Low,gray,strong,upper
high,B,High,y,yes,anise,free,yes,Low,gray,strong,support
high,B,Very High,y,yes,almond,free,yes,Low,brown,strong,upper
high,A,Medium,b,no,none,free,yes,High,black,strong,top
high,D,Very High,b,yes,anise,free,yes,Low,brown,strong,upper
high,A,Very High,w,yes,almond,free,yes,Low,black,strong,upper
high,D,Very High,y,yes,anise,free,yes,Low,white,strong,canopy
high,B,High,w,yes,almond,free,yes,Low,white,strong,upper
high,B,High,w,yes,almond,free,yes,Low,white,strong,support
high,A,Very High,b,yes,anise,free,yes,Low,white,strong,upper
high,B,High,w,yes,almond,free,yes,Low,black,strong,upper
high,A,Medium,g,no,none,free,yes,High,gray,strong,top
high,B,High,y,yes,anise,free,yes,Low,black,strong,upper
high,A,Medium,y,yes,anise,free,no,High,brown,mild,medium
high,B,Very High,y,yes,almond,free,yes,Low,white,strong,upper
high,D,Very High,y,yes,anise,free,yes,Low,pink,strong,upper
high,B,Very High,w,yes,anise,free,yes,Low,white,strong,support
high,B,Very High,w,yes,almond,free,yes,Low,black,strong,support
high,B,Very High,y,yes,almond,free,yes,Low,gray,strong,upper
high,A,Very High,y,yes,anise,free,yes,Low,gray,strong,support
high,B,High,y,yes,anise,free,yes,Low,gray,strong,upper
low,A,Very High,w,yes,pungent,free,yes,High,pink,strong,top
high,C,Medium,b,no,none,free,yes,High,gray,strong,top
high,D,Medium,b,no,none,free,yes,High,gray,strong,top
high,A,High,y,yes,almond,free,yes,Low,gray,strong,support
high,D,Very High,b,yes,almond,free,yes,Low,pink,strong,canopy
low,A,Very High,w,yes,pungent,free,yes,High,black,strong,upper
high,B,High,w,yes,anise,free,yes,Low,gray,strong,support
high,D,Medium,g,no,none,free,yes,High,pink,strong,top
high,B,Very High,y,yes,anise,free,yes,Low,gray,strong,upper
high,A,Very High,b,yes,almond,free,yes,Low,white,strong,canopy
high,A,Medium,w,no,none,free,no,Low,pink,mild,upper
high,A,High,w,yes,anise,free,no,High,white,mild,medium
high,B,High,w,yes,anise,free,yes,Low,white,strong,support
high,D,High,y,yes,almond,free,no,High,white,mild,medium
high,A,High,y,yes,almond,free,yes,Low,black,strong,support
high,D,Medium,g,no,none,free,yes,High,gray,strong,top
high,B,High,y,yes,almond,free,yes,Low,brown,strong,upper
high,A,High,w,yes,anise,free,yes,Low,gray,strong,support
high,A,Very High,w,yes,anise,free,yes,Low,brown,strong,support
high,D,High,w,yes,almond,free,no,High,brown,mild,medium
high,A,Very High,y,yes,anise,free,yes,Low,white,strong,upper
high,B,High,w,yes,anise,free,yes,Low,white,strong,upper
high,A,High,w,yes,almond,free,yes,Low,gray,strong,upper
high,A,Medium,w,no,none,free,no,Low,chocolate,mild,upper
high,D,Very High,b,yes,anise,free,yes,Low,brown,strong,canopy
low,A,High,w,yes,pungent,free,yes,High,black,strong,top
high,B,High,w,yes,almond,free,yes,Low,brown,strong,upper
high,B,High,w,yes,almond,free,yes,Low,black,strong,support
high,B,Very High,w,yes,anise,free,yes,Low,brown,strong,upper
high,B,Very High,w,yes,almond,free,yes,Low,white,strong,upper
high,A,High,y,yes,almond,free,yes,Low,white,strong,upper
high,B,High,w,yes,anise,free,yes,Low,white,strong,support
high,A,Medium,y,yes,almond,free,no,High,brown,mild,medium
high,A,Medium,g,no,none,free,yes,High,brown,strong,top
high,D,Very High,y,yes,almond,free,yes,Low,brown,strong,upper
high,B,High,w,yes,anise,free,yes,Low,brown,strong,support
high,A,High,y,yes,almond,free,yes,Low,gray,strong,upper
high,A,Very High,y,yes,almond,free,yes,Low,black,strong,upper
high,A,Very High,w,yes,anise,free,yes,Low,white,strong,upper
high,C,Medium,g,no,none,free,yes,High,pink,strong,top
high,A,High,w,yes,almond,free,yes,Low,brown,strong,support
low,A,High,w,yes,pungent,free,yes,High,black,strong,upper
high,A,Very High,y,yes,almond,free,yes,Low,brown,strong,upper
high,D,Medium,w,yes,almond,free,no,High,pink,mild,medium
high,A,Very High,w,yes,anise,free,yes,Low,gray,strong,support
high,B,Very High,w,yes,anise,free,yes,Low,brown,strong,upper
high,A,High,w,yes,almond,free,yes,Low,gray,strong,upper
high,A,High,y,yes,almond,free,yes,Low,gray,strong,upper
low,A,Very High,b,yes,pungent,free,yes,High,pink,strong,top
high,B,High,y,yes,almond,free,yes,Low,brown,strong,upper
high,A,Medium,g,no,none,free,yes,High,brown,strong,top
low,A,Very High,w,yes,pungent,free,yes,High,black,strong,top
high,A,Very High,y,yes,anise,free,yes,Low,brown,strong,canopy
high,D,Medium,b,no,none,free,yes,High,black,strong,top
high,B,High,w,yes,anise,free,yes,Low,black,strong,upper
high,A,Medium,w,yes,anise,free,no,High,white,mild,medium
high,A,Very High,w,yes,anise,free,yes,Low,white,strong,upper
high,B,Very High,y,yes,anise,free,yes,Low,brown,strong,upper
high,A,Very High,y,yes,anise,free,yes,Low,brown,strong,upper
high,D,Very High,y,yes,almond,free,yes,Low,pink,strong,canopy
high,D,Very High,y,yes,almond,free,yes,Low,white,strong,canopy
high,A,High,w,yes,anise,free,yes,Low,white,strong,upper
high,A,High,w,yes,almond,free,yes,Low,white,strong,support
low,A,High,w,yes,pungent,free,yes,High,brown,strong,top
high,D,Medium,w,yes,almond,free,no,High,pink,mild,medium
high,A,High,w,yes,anise,free,yes,Low,white,strong,upper
high,A,High,w,yes,anise,free,no,High,pink,mild,medium
high,A,Very High,w,yes,almond,free,yes,Low,brown,strong,support
high,D,Very High,y,yes,anise,free,yes,Low,white,strong,canopy
high,A,High,b,no,none,free,no,Low,pink,mild,upper
high,D,Very High,y,yes,almond,free,yes,Low,white,strong,upper
low,A,High,b,yes,pungent,free,yes,High,pink,strong,upper
high,C,Medium,b,no,none,free,yes,High,gray,strong,top
high,B,Very High,y,yes,anise,free,yes,Low,white,strong,support
high,B,High,w,yes,anise,free,yes,Low,brown,strong,upper
high,B,Very High,w,yes,anise,free,yes,Low,black,strong,support
high,D,Medium,b,no,none,free,yes,High,black,strong,top
high,A,High,w,yes,almond,free,yes,Low,white,strong,support
high,B,Very High,w,yes,anise,free,yes,Low,gray,strong,upper
high,B,Very High,w,yes,almond,free,yes,Low,gray,strong,support
high,D,Very High,b,yes,anise,free,yes,Low,white,strong,upper
low,A,Very High,w,yes,pungent,free,yes,High,black,strong,upper
high,A,High,w,yes,almond,free,yes,Low,brown,strong,upper
high,A,Very High,w,yes,almond,free,yes,Low,brown,strong,support
high,D,Medium,w,yes,anise,free,no,High,white,mild,medium
high,D,Medium,g,no,none,free,yes,High,gray,strong,top
high,D,High,g,no,none,free,no,Low,pink,mild,upper
high,A,Very High,y,yes,almond,free,yes,Low,gray,strong,support
high,B,High,w,yes,almond,free,yes,Low,black,strong,support
low,D,Very High,b,yes,pungent,free,yes,High,white,strong,top
high,A,High,w,yes,anise,free,yes,Low,brown,strong,support
low,D,High,b,yes,pungent,free,yes,High,white,strong,top
high,A,Very High,w,yes,anise,free,yes,Low,black,strong,upper
high,A,Very High,y,yes,almond,free,yes,Low,black,strong,support
high,D,Very High,y,yes,almond,free,yes,Low,brown,strong,canopy
high,A,Very High,b,yes,almond,free,yes,Low,white,strong,canopy
high,D,Very High,b,yes,almond,free,yes,Low,white,strong,upper
high,A,Very High,w,yes,almond,free,yes,Low,white,strong,support
high,D,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,A,High,y,yes,anise,free,yes,Low,black,strong,support
low,A,Very High,w,yes,pungent,free,yes,High,white,strong,upper
high,B,Very High,y,yes,almond,free,yes,Low,brown,strong,support
high,C,Medium,b,no,none,free,yes,High,pink,strong,top
high,A,High,y,yes,anise,free,yes,Low,black,strong,support
high,B,Very High,w,yes,anise,free,yes,Low,brown,strong,support
high,D,Very High,b,yes,almond,free,yes,Low,brown,strong,upper
high,B,Very High,y,yes,almond,free,yes,Low,gray,strong,support
high,B,Very High,w,yes,almond,free,yes,Low,gray,strong,upper
high,A,Very High,b,yes,anise,free,yes,Low,brown,strong,canopy
high,D,Medium,g,no,none,free,yes,High,pink,strong,top
high,A,Medium,g,no,none,free,yes,High,gray,strong,top
high,B,Very High,y,yes,anise,free,yes,Low,brown,strong,upper
high,A,High,y,yes,anise,free,yes,Low,brown,strong,support
high,B,Very High,w,yes,anise,free,yes,Low,black,strong,upper
high,A,High,w,yes,almond,free,yes,Low,gray,strong,support
high,B,High,y,yes,almond,free,yes,Low,gray,strong,support
high,A,High,y,yes,almond,free,yes,Low,black,strong,support
high,A,Medium,g,no,none,free,no,Low,pink,mild,upper
high,D,High,y,yes,almond,free,no,High,pink,mild,medium
low,A,Very High,w,yes,pungent,free,yes,High,pink,strong,upper
high,A,Medium,w,no,none,free,no,Low,black,mild,upper
high,B,Very High,w,yes,almond,free,yes,Low,white,strong,upper
high,A,High,y,yes,anise,free,no,High,white,mild,medium
high,B,Very High,w,yes,almond,free,yes,Low,brown,strong,upper
high,A,Very High,w,yes,anise,free,yes,Low,gray,strong,upper
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,B,Very High,w,yes,anise,free,yes,Low,black,strong,support
high,A,High,y,yes,anise,free,yes,Low,gray,strong,support
high,D,Very High,b,yes,almond,free,yes,Low,pink,strong,upper
high,A,Medium,w,no,none,free,no,Low,brown,mild,upper
high,A,High,y,yes,anise,free,yes,Low,white,strong,upper
low,A,Very High,w,yes,pungent,free,yes,High,brown,strong,upper
high,A,Very High,y,yes,anise,free,yes,Low,brown,strong,upper
high,A,Medium,w,yes,almond,free,no,High,pink,mild,medium
high,B,High,y,yes,almond,free,yes,Low,gray,strong,upper
low,A,Very High,w,yes,pungent,free,yes,High,black,strong,top
high,A,High,y,yes,almond,free,no,High,white,mild,medium
high,A,Very High,w,yes,almond,free,yes,Low,black,strong,support
high,A,Medium,w,yes,anise,free,no,High,brown,mild,medium
high,D,High,w,yes,anise,free,no,High,white,mild,medium
high,A,Very High,y,yes,anise,free,yes,Low,black,strong,support
high,D,Medium,y,yes,almond,free,no,High,white,mild,medium
high,A,High,w,yes,almond,free,yes,Low,white,strong,upper
high,B,Very High,y,yes,almond,free,yes,Low,brown,strong,support
high,A,Very High,b,yes,anise,free,yes,Low,pink,strong,canopy
high,B,Very High,w,yes,anise,free,yes,Low,black,strong,upper
high,A,High,y,yes,almond,free,yes,Low,brown,strong,support
low,A,Very High,b,yes,pungent,free,yes,High,brown,strong,top
high,B,High,y,yes,anise,free,yes,Low,white,strong,upper
high,B,Very High,w,yes,almond,free,yes,Low,gray,strong,upper
low,A,Very High,b,yes,pungent,free,yes,High,white,strong,top
high,B,High,w,yes,anise,free,yes,Low,brown,strong,support
high,B,Very High,y,yes,anise,free,yes,Low,white,strong,support
high,B,Very High,y,yes,almond,free,yes,Low,brown,strong,upper
high,A,Very High,w,yes,anise,free,yes,Low,gray,strong,upper
high,A,Medium,b,yes,none,free,yes,Low,pink,mild,medium
high,A,Very High,b,yes,almond,free,yes,Low,white,strong,upper
high,B,High,y,yes,anise,free,yes,Low,brown,strong,upper
high,A,Medium,g,no,none,free,yes,High,gray,strong,top
high,A,Very High,b,yes,anise,free,yes,Low,brown,strong,upper
high,A,High,w,yes,almond,free,yes,Low,black,strong,upper
high,B,Very High,w,yes,almond,free,yes,Low,brown,strong,upper
high,A,High,y,yes,almond,free,yes,Low,gray,strong,support
high,D,Medium,y,yes,almond,free,no,High,pink,mild,medium
high,B,Very High,y,yes,anise,free,yes,Low,gray,strong,upper
high,A,Medium,b,no,none,free,no,Low,brown,mild,upper
high,A,Medium,y,yes,anise,free,no,High,brown,mild,medium
high,A,High,y,yes,almond,free,yes,Low,brown,strong,support
high,D,High,g,no,none,free,no,Low,brown,mild,upper
high,A,Medium,b,no,none,free,yes,High,gray,strong,top
high,D,High,g,no,none,free,no,Low,chocolate,mild,upper
high,D,Very High,b,yes,almond,free,yes,Low,pink,strong,canopy
high,B,Very High,w,yes,almond,free,yes,Low,black,strong,upper
high,B,High,y,yes,almond,free,yes,Low,black,strong,support
high,A,Very High,y,yes,anise,free,yes,Low,white,strong,canopy
high,C,Medium,g,no,none,free,yes,High,gray,strong,top
high,D,Very High,b,yes,almond,free,yes,Low,pink,strong,canopy
low,A,Very High,b,yes,pungent,free,yes,High,black,strong,top
high,A,Very High,y,yes,almond,free,yes,Low,pink,strong,canopy
high,A,Very High,y,yes,almond,free,yes,Low,white,strong,upper
high,A,Medium,b,no,none,free,no,Low,chocolate,mild,upper
high,A,Medium,b,no,none,free,no,Low,pink,mild,upper
high,D,High,b,no,none,free,no,Low,black,mild,upper
high,D,Very High,b,yes,almond,free,yes,Low,brown,strong,canopy
high,A,High,y,yes,almond,free,yes,Low,white,strong,upper
high,D,Medium,b,no,none,free,yes,High,pink,strong,top
high,A,Very High,y,yes,almond,free,yes,Low,white,strong,canopy
high,A,Medium,y,yes,almond,free,no,High,pink,mild,medium
high,B,Very High,y,yes,almond,free,yes,Low,gray,strong,upper
high,A,Medium,g,no,none,free,no,Low,brown,mild,upper
high,A,Very High,y,yes,almond,free,yes,Low,white,strong,upper
high,D,Very High,b,yes,anise,free,yes,Low,brown,strong,upper
high,A,High,y,yes,almond,free,yes,Low,white,strong,support
high,C,Medium,b,no,none,free,yes,High,brown,strong,top
high,A,High,w,yes,almond,free,yes,Low,black,strong,support
high,B,High,w,yes,anise,free,yes,Low,brown,strong,upper
high,C,Medium,b,no,none,free,yes,High,black,strong,top
high,B,Very High,y,yes,anise,free,yes,Low,brown,strong,support
high,A,Very High,y,yes,anise,free,yes,Low,black,strong,upper
high,B,Very High,y,yes,almond,free,yes,Low,black,strong,upper
low,A,Very High,b,yes,pungent,free,yes,High,pink,strong,top
high,A,High,w,no,none,free,no,Low,black,mild,upper
high,A,Very High,w,yes,almond,free,yes,Low,white,strong,support
high,B,High,w,yes,almond,free,yes,Low,gray,strong,upper
high,A,Medium,b,yes,none,free,yes,Low,brown,mild,medium
low,A,High,b,yes,pungent,free,yes,High,white,strong,top
high,A,Very High,b,yes,anise,free,yes,Low,white,strong,canopy
high,A,High,b,no,none,free,no,Low,brown,mild,upper
high,B,Very High,y,yes,anise,free,yes,Low,brown,strong,support
high,A,High,y,yes,almond,free,yes,Low,white,strong,support
high,B,High,y,yes,almond,free,yes,Low,brown,strong,support
high,A,High,y,yes,anise,free,yes,Low,gray,strong,support
high,B,Very High,w,yes,almond,free,yes,Low,brown,strong,upper
high,A,Medium,g,no,none,free,yes,High,black,strong,top
high,D,Very High,b,yes,almond,free,yes,Low,white,strong,upper
high,A,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,A,High,w,yes,anise,free,yes,Low,black,strong,support
high,A,Very High,y,yes,anise,free,yes,Low,white,strong,support
high,A,Medium,g,no,none,free,yes,High,brown,strong,top
low,A,High,b,yes,pungent,free,yes,High,pink,strong,top
high,B,Very High,w,yes,anise,free,yes,Low,white,strong,upper
high,B,Very High,w,yes,almond,free,yes,Low,brown,strong,support
low,A,Very High,b,yes,pungent,free,yes,High,pink,strong,top
high,B,High,y,yes,anise,free,yes,Low,white,strong,support
high,A,High,w,yes,anise,free,yes,Low,black,strong,support
high,A,Very High,y,yes,anise,free,yes,Low,brown,strong,support
high,B,Very High,y,yes,anise,free,yes,Low,brown,strong,upper
high,A,High,w,yes,almond,free,yes,Low,gray,strong,support
high,A,High,w,yes,almond,free,yes,Low,gray,strong,upper
high,A,Very High,b,yes,anise,free,yes,Low,white,strong,canopy
high,A,High,w,yes,almond,free,yes,Low,white,strong,support
high,A,High,b,no,none,free,no,Low,brown,mild,upper
high,A,Very High,b,yes,anise,free,yes,Low,brown,strong,canopy
high,A,Very High,y,yes,anise,free,yes,Low,brown,strong,upper
low,A,Very High,b,yes,pungent,free,yes,High,black,strong,upper
high,B,Very High,y,yes,almond,free,yes,Low,white,strong,upper
high,A,Medium,w,yes,anise,free,no,High,pink,mild,medium
low,A,High,b,yes,pungent,free,yes,High,white,strong,top
high,A,Very High,y,yes,anise,free,yes,Low,black,strong,upper
high,D,Medium,g,no,none,free,no,Low,chocolate,mild,upper
high,A,Very High,w,yes,anise,free,yes,Low,brown,strong,upper
high,B,Very High,w,yes,almond,free,yes,Low,white,strong,support
low,A,Very High,b,yes,pungent,free,yes,High,pink,strong,top
high,D,Very High,b,yes,anise,free,yes,Low,white,strong,upper
high,A,High,w,yes,anise,free,yes,Low,brown,strong,support
high,A,High,w,yes,almond,free,no,High,brown,mild,medium
high,D,Very High,b,yes,almond,free,yes,Low,brown,strong,canopy
high,B,High,w,yes,almond,free,yes,Low,black,strong,support
high,A,High,w,no,none,free,no,Low,pink,mild,upper
high,D,Medium,g,no,none,free,yes,High,brown,strong,top
high,A,Very High,w,yes,almond,free,yes,Low,gray,strong,upper
high,A,Very High,y,yes,anise,free,yes,Low,brown,strong,upper
high,B,High,y,yes,anise,free,yes,Low,gray,strong,upper
high,B,High,y,yes,anise,free,yes,Low,white,strong,upper
high,D,High,w,yes,anise,free,no,High,brown,mild,medium
high,B,High,w,yes,almond,free,yes,Low,white,strong,support
high,A,Medium,y,yes,almond,free,no,High,brown,mild,medium
high,A,Very High,w,yes,anise,free,yes,Low,gray,strong,support
high,B,Very High,y,yes,anise,free,yes,Low,black,strong,support
high,A,Very High,b,yes,almond,free,yes,Low,pink,strong,canopy
high,A,Very High,w,yes,anise,free,yes,Low,brown,strong,support
high,A,Very High,w,yes,anise,free,yes,Low,gray,strong,support
high,A,Very High,y,yes,almond,free,yes,Low,pink,strong,canopy
high,A,Very High,w,yes,anise,free,yes,Low,brown,strong,support
high,A,High,y,yes,anise,free,yes,Low,white,strong,support
high,A,Very High,b,yes,anise,free,yes,Low,pink,strong,upper
high,A,High,w,yes,anise,free,yes,Low,brown,strong,upper
high,D,Very High,b,yes,anise,free,yes,Low,brown,strong,upper
